,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
336,10402,CITRONELLIC ACID,29.0,,-2.3743019104003906,predicted,-2.3743019104003906
337,10409,CYCLOPENTADECANONE,33.0,,-2.9514410495758057,predicted,-2.9514410495758057
338,10430,ISOVALERIC ACID,72.0,0.44,0.0,experimental,-0.3565473235138126
339,10448,METHIONOL,76.0,,0.028148461133241653,predicted,0.028148461133241653
340,10582,MYRTENOL,16.0,,-1.3663415908813477,predicted,-1.3663415908813477
341,10722,O-TOLUALDEHYDE,35.0,,-0.4791015088558197,predicted,-0.4791015088558197
342,10748,7-METHOXY COUMARINE,14.0,,-2.547135591506958,predicted,-2.547135591506958
343,10778,O-TOLYL ACETATE,47.0,,-1.022315263748169,predicted,-1.022315263748169
344,10795,ACETALDEHYDE DIMETHYL ACETAL,51.5,171.18,0.0,experimental,2.23345302204072
345,10797,2-METHYLFURAN,60.0,142.0,0.0,experimental,2.1522883443830563
346,10817,HAWTHORN CARBINOL,14.0,,-1.2487318515777588,predicted,-1.2487318515777588
347,10823,3-ETHYLPYRIDINE,82.0,,0.6334787607192993,predicted,0.6334787607192993
348,10869,BENZYL METHYL ETHER,75.0,,-0.044919829815626144,predicted,-0.044919829815626144
349,10873,BENZYL ETHYL ETHER,46.0,,-0.630912184715271,predicted,-0.630912184715271
350,10882,ETHYL VALERATE,65.0,,0.7445357441902161,predicted,0.7445357441902161
351,10883,ETHYL LEVULINATE,34.0,,-0.7650694847106934,predicted,-0.7650694847106934
352,10885,ISOBUTYL BUTYRATE,29.0,,0.27564501762390137,predicted,0.27564501762390137
353,10886,AMYL HEXANOATE,45.0,,-1.4627116918563843,predicted,-1.4627116918563843
354,10895,ISOBUTYL PROPIONATE,34.0,,0.7999197840690613,predicted,0.7999197840690613
355,10925,isoamyl mercaptan,80.0,,1.4628061056137085,predicted,1.4628061056137085
356,10947,MUSCONE DEXTRO LAEVO,37.0,,-3.130825996398926,predicted,-3.130825996398926
357,10957,ISOBUTYL FORMATE,76.0,,1.4049738645553589,predicted,1.4049738645553589
358,10975,MYRCENOL,35.5,,-1.2900595664978027,predicted,-1.2900595664978027
359,10976,2-HEPTANOL,57.0,0.99758204,0.0,experimental,-0.0010513782936554584
360,11002,DIBUTYL SULFIDE,72.0,,0.38195693492889404,predicted,0.38195693492889404
361,11027,BETA-THUJONE,50.0,,-0.9174955487251282,predicted,-0.9174955487251282
362,11039,METHYL ISOBUTYRATE,75.0,,1.5125951766967773,predicted,1.5125951766967773
363,11086,2-AMINOACETOPHENONE,35.0,,-0.977116584777832,predicted,-0.977116584777832
